Protein	i10	i11	i12	i13	i14	i21	i22	i23	i24	i25	i26	i27	i28	i29	i30	i37	i38	i39	i40	i41	i42	i43	i44	i45	i46	i5	i53	i55	i56	i57	i58	i59	i60	i61	i62	i63	i64	i69	i7	i71	i72	i73	i74	i75	i76	i77	i78	i79	i8	i80	i85	i87	i88	i89	i9	i90	i91	i92	i93	i94	i95	i96
A0A1B0GX78	0.502080242	-0.457509647	0.694639171	-0.444052487	0.361262652	-0.248055365	0.499935764	-0.057566548	0.349320913	-0.228895202	0.502080242	-0.161097863	0.614076188	-0.177518079	0.614076188	-0.34869073	0.349320913	-0.15345624	0.349320913	-0.053187185	0.349320913	0.216235183	0.540809239	-0.577485962	0.353125507	0.54402105	-0.013358875	0.499935764	-0.0656958	0.614076188	-0.032272782	0.505884836	0.003197252	0.349320913	-0.170945894	0.349320913	-0.207503492	0.006282007	-0.21763137	0.204821402	0.198387967	0.3023321	-0.0656958	0.999087225	-0.290897425	0.502080242	-0.242019126	0.502080242	0.361262652	-0.102076374	0.435900444	0.502080242	-0.141424932	0.614076188	-0.41586705	-0.149554184	0.585377216	-0.141424932	0.614076188	-0.170945894	0.502080242	-0.204368912
A6NFK2	1.171988891	-1.065308922	0.965485358	-0.912422997	1.204071138	-1.065838346	1.055790776	-1.065838346	0.868962742	-1.065308922	0.868962742	-0.994486228	0.882396867	-1.065838346	0.812522321	-1.065308922	0.970001921	-1.065838346	0.868962742	-1.065308922	0.596861877	-0.801475289	0.952051233	-1.067973531	0.952051233	-0.923681719	0.966097707	1.060506614	-1.065838346	0.979289257	-1.110808119	0.90941471	-1.065838346	1.188251727	-1.065838346	1.01241361	-1.065838346	0.636159865	-0.736417354	0.996020645	-1.065838346	0.967043081	-1.065838346	1.013154254	-1.075092228	0.953608956	-1.065838346	1.080354949	1.080599063	-1.065838346	1.16344344	0.954952378	-1.065838346	1.183052719	-0.923681719	-1.019555178	1.183052719	-1.031343325	1.03346034	-1.065838346	0.90941471	-1.075092228
A6NFN9	-0.814600737	1.808968262	-1.202780319	-0.355169741	-0.760898756	0.673129597	-0.677826979	0.54391545	-0.415275528	0.548589409	-0.934104064	-0.534777177	-1.433973437	-0.331872578	0.334596563	0.369407281	-1.380985462	0.745856939	-1.214771114	0.084410719	-0.791462129	0.386897974	-1.391574051	-0.20907661	-0.791462129	0.609938371	-0.841236016	-0.148308436	1.092509128	-0.811312643	0.672988087	-1.065920726	0.672988087	-1.362978408	1.092509128	-1.055332137	0.816188171	-0.131349035	-0.108328748	-1.347879517	0.966552463	-1.228683758	0.97445499	-1.391574051	-0.107578102	-1.347879517	0.193811754	-1.380985462	-1.359766782	-0.034786297	0.085957068	-1.795064377	1.807152529	-0.45701346	1.332352072	-0.113497162	-0.945684339	1.652234944	-1.21822243	-0.181860091	-0.913918572	1.298072531
A6NHQ2	0.128031673	-0.414246769	0.036409718	-0.798608735	0.210179001	-0.333441135	-0.294494326	-0.324325217	0.147387063	-0.49571752	-0.12969043	-0.100719223	-0.102667795	-0.570090743	-0.101397126	-0.118262003	0.191096041	-0.178773702	0.690087067	0.085946991	0.273399348	0.544115341	-0.060985062	0.608196948	-0.113154626	-0.329052509	0.020531396	-0.094432788	-0.366732318	-0.102348005	-0.23786854	-0.101077336	-0.265369056	0.574421499	-0.50211388	-0.172726798	-0.335295278	0.279124037	-0.464622955	1.014774644	0.049996481	0.613409948	0.538565262	-0.029535729	0.426859796	0.511451901	-0.344015393	0.481894782	-0.044684347	0.626843717	-0.688854436	0.038153687	-0.246029201	0.059738394	0.22761583	-1.156511301	-0.078146128	0.0477885	-0.423503023	-0.908155489	0.006923151	0.279758031
B4DXR9	0.145326031	-0.546058554	-0.057718645	0.025824322	0.376464546	0.025824322	0.036923024	-0.466781035	0.145326031	0.025824322	0.2399677	-0.546058554	-0.057718645	-0.466781035	0.150015695	1.02696928	0.447965548	-1.226844157	-0.51530601	0.277347844	0.787243563	-0.68867935	0.16404054	-0.450846791	0.178109533	0.025824322	0.664107459	-0.057718645	-0.546058554	0.376464546	0.025824322	-0.341958609	-0.546058554	0.150015695	-0.466781035	0.376464546	-0.546058554	0.664107459	0.025824322	0.150015695	-0.466781035	0.376464546	-0.466781035	-0.115509759	-0.466781035	0.036923024	-0.466781035	0.150015695	0.150015695	-0.466781035	0.471106215	0.376464546	0.025824322	0.376464546	-0.546058554	0.025824322	0.376464546	0.025824322	0.150015695	0.025824322	0.471106215	0.025824322
C4AMC7	-0.597635901	-0.235699321	-0.650984007	-0.000550216	-0.641611539	0.09848941	0.065349905	-0.647810407	-0.650984007	0.606031718	-0.650984007	0.631742163	-0.597635901	0.484890051	-0.682722651	-0.647810407	-0.656239554	-0.252171616	-0.682722651	-0.585415812	-0.682722651	0.484890051	0.031487086	-0.647810407	-0.682722651	-0.274091267	-0.682722651	0.140952408	0.114961705	-0.229500102	0.111170912	-0.682722651	-0.486899305	-0.682722651	0.506809702	-0.583637639	-0.235699321	-0.650984007	-0.647810407	-0.682722651	0.469543982	-0.682722651	0.484890051	0.099355895	0.469543982	-0.682722651	0.469543982	-0.682722651	-0.597635901	-0.275229729	-0.317413909	-0.656239554	-0.647810407	0.435802415	-0.50961863	-0.647810407	-0.090022049	-0.647810407	-0.650984007	-0.297149381	-0.682722651	-0.25988366
E9PAV3	0.326339232	0.448052638	-0.412638581	0.186265638	-0.316885562	0.232646011	0.388254417	0.258232759	0.168737861	0.727217851	-0.927977123	0.45660332	0.09453963	0.177285872	-0.611481557	0.193867954	-0.139636422	0.09343456	-0.440673277	0.276524567	-0.415270947	0.224670658	-0.531982465	-0.201685683	-0.098014588	0.514887703	-0.633750824	-0.608720142	0.031230968	-0.018656019	-0.083822352	-0.39131444	-0.489532393	-0.118247088	-0.111672635	0.319265729	0.093241945	-0.386857797	0.186265657	0.330879705	0.118075227	-0.039438742	0.657509323	0.074466415	-0.025348589	-0.102749292	0.116509295	-0.176487952	-0.114975082	-0.43888742	0.451100518	0.21357579	0.049827733	-0.142201764	0.054971127	0.433867144	0.126749999	0.195981626	-0.471336968	0.156120916	-0.207457144	0.280503061
O00154	0.347086858	0.08015259	0.731796167	-0.211968696	0.859371002	-0.245217505	0.859371002	0.019461361	0.525290453	-0.532580408	0.525290453	-0.830397731	0.347086858	-0.331012502	0.731796167	-0.55821384	0.476649514	-0.55821384	0.731796167	-0.85095759	0.476649514	-0.423461358	0.731796167	-0.830397731	0.700056034	0.08015259	0.278505917	0.28375083	-0.211968696	0.731796167	-0.211968696	0.731796167	-0.614123526	0.359813227	-0.61890507	0.395287124	-0.61890507	0.164766227	0.08015259	0.748696973	-0.55821384	0.801069355	-0.245217505	0.801069355	-0.553432297	0.700056034	-0.495079721	0.667389663	0.308064294	-0.702599048	0.671506699	0.601487062	-0.345844071	0.674901171	0.054433493	-0.55821384	0.147128163	-0.384221867	0.43837001	-0.211968696	0.671506699	-0.55821384
O00170	0.240558383	-0.233999352	0.602889353	0.016784728	-0.119160967	-0.073953882	0.038046258	-0.218554975	0.240558383	-0.218554975	0.240558383	-0.000233204	0.240558383	-0.073953882	0.240558383	-0.107147109	0.240558383	-0.107147109	0.240558383	-0.107147109	0.240558383	-0.218554975	0.240558383	-0.000233204	0.240558383	-0.082794952	0.240558383	0.038046258	-0.073953882	0.011996948	-0.211411058	-0.038404519	-0.244604285	0.240558383	-0.073953882	0.038046258	-0.218554975	0.240558383	-0.004647023	0.240558383	-0.134960282	0.240558383	-0.073953882	0.240558383	-0.218554975	0.240558383	-0.218554975	0.240558383	0.237946762	-0.038404519	0.240558383	0.038046258	-0.107147109	0.011996948	-0.41701855	-0.107147109	0.240558383	-0.218554975	0.240558383	-0.107147109	0.038046258	-0.107147109
O00192	-0.345683373	0.354220937	0.046763944	0.327693135	-0.402748799	0.329860563	0.017544441	0.07893288	-0.072170941	0.054060641	-0.072170941	0.2971616	-0.065404321	0.327693135	-0.105567338	0.309066717	0.028324332	0.172813408	-0.072170941	0.160908291	-0.041936196	0.313873378	0.039997324	0.2971616	0.039997324	0.354220937	-0.393665248	0.236180544	0.327693135	-0.053934829	0.327693135	-0.094097846	-0.07701601	-0.314966876	0.174728048	0.01992559	0.310981357	-0.033323815	0.354220937	-0.022887125	0.176760428	-0.026760695	-0.07701601	-0.116550729	0.302234495	-0.033527315	-0.07701601	-0.237438448	-0.172152252	0.18550729	-0.125270184	-0.040105177	-0.07701601	-0.384357419	0.221914648	0.309066717	-0.384357419	-0.00354066	-0.175060822	0.327693135	-0.094097846	0.309066717
O00193	-0.039558207	0.39681985	-0.05084976	0.425270184	-0.143327832	0.420119578	0.194887782	0.416996568	-0.319712492	-0.210570101	-0.460110068	0.085468381	-0.460110068	0.123779116	-0.303491615	-0.334982728	-0.240167367	-0.017944969	0.036686412	-0.484627512	0.541948027	0.074649848	-0.065214926	-0.250433364	-0.205503466	0.132605381	-0.762620052	-0.37918038	-0.679029383	-0.19742701	-0.583979232	2.483062083	0.492292218	-0.129516693	-1.150289509	-0.265590515	-0.529929746	-0.076188328	0.39681985	0.117386379	-0.243090179	0.02754639	-0.229955465	3.425728463	-0.219769941	0.62207929	-0.635972436	0.102535634	-0.039558207	-0.242501545	-0.348103949	-0.471008655	0.013620677	0.120674945	-0.234908694	0.31870098	0.91807605	-0.287870392	-0.214651308	-0.114730668	-0.396135835	0.31870098
O00264	0.026042747	0.173943186	0.120962271	0.283251649	0.021919926	0.276798522	0.201289506	0.276798522	-0.103820341	0.173943186	-0.103820341	0.022544152	-0.03408874	0.276798522	-0.172247013	0.173943186	-0.052475081	0.276798522	-0.103820341	0.173943186	-0.272875907	-0.030087119	0.051230669	-0.04769496	0.051230669	0.265135899	-0.121338148	0.005114852	0.276798522	0.065294949	0.163864133	-0.072863325	0.276798522	0.094989906	0.276798522	0.014730353	0.276798522	-0.281789446	0.250514736	-0.042486655	0.276798522	-0.039960487	0.276798522	0.077195512	0.112014285	-0.109692089	0.276798522	0.028945976	0.112282426	0.276798522	0.183996987	-0.021851444	0.276798522	0.008345179	0.265135899	0.14068909	0.008345179	0.225428675	-0.032938837	0.276798522	-0.072863325	0.112014285
O00299	0.367593865	-0.177836847	0.394124791	-0.047107018	0.052429707	-0.55310149	0.263589706	-0.081369828	0.641258385	-0.440839926	0.173763474	-0.15913211	0.168194609	-0.161369842	0.389048038	0.05358358	0.057377729	-0.336580218	0.407193526	-0.448397698	-0.406086344	0.163653358	0.352284147	0.106418382	0.110590054	-0.212064102	0.01984608	0.4800206	-0.203919246	0.055919521	-0.58195884	-0.066860918	-0.203017026	-0.523613626	-0.462982426	0.088942174	-0.373319458	0.758717278	-0.329946298	0.144108185	0.082880266	0.320987908	-0.265303133	-0.047217157	-0.103240506	-0.042948478	-0.268961402	0.484213722	0.214558635	-0.490422574	0.697747373	0.494710259	-0.126985211	-0.185302853	-0.356563697	-0.140410916	0.14892757	-0.081248051	-0.060465755	0.143859114	0.411137284	-0.309106325
O00303	-0.014346228	0.09412691	-0.181790485	0.157190635	-0.131745442	0.416519862	-0.234512369	0.340343568	-0.181790485	-0.061004563	-0.181790485	0.159952885	-0.014346228	-0.050654244	-0.107087942	0.340343568	-0.120356396	0.510776385	-0.107087942	0.48725905	-0.107087942	-0.050654244	-0.296472485	0.340343568	-0.107087942	0.265673808	-0.107087942	-0.313237441	-0.000129613	-0.117113155	0.024015517	-0.107087942	0.414123335	-0.107087942	0.194448334	-0.156977654	0.09412691	-0.181790485	0.340343568	-0.107087942	0.294900754	-0.107087942	-0.050654244	-0.361365583	0.294900754	-0.107087942	0.294900754	-0.107087942	-0.014346228	0.491189623	-0.107087942	-0.120356396	0.340343568	-0.380746943	0.362249897	0.340343568	-0.26659097	0.340343568	-0.181790485	0.246087045	-0.107087942	0.145634625
O00400	-0.125305158	0.430772896	0.01384916	0.920284693	0.549300689	0.909691048	-0.184148515	0.514814031	0.240686556	0.469916645	0.231029843	0.064221237	0.017554711	-0.038520563	-0.070787227	0.716877092	-0.464683272	0.676652836	-0.381199046	0.587486078	-0.599398093	-0.350208079	-0.567757861	0.286945915	-0.567757861	-0.649369243	-0.414209156	-0.154861063	-0.066804396	-0.587016481	-0.113947953	-0.618853057	-0.495495695	-0.228889892	0.322526814	0.115894862	-0.371214525	-0.698661457	1.22478809	0.256697323	-0.101162098	-0.155350531	0.131836901	-0.310164325	-0.088781973	-0.344678922	0.294136725	-0.375078738	-0.074810257	-0.732111919	-0.966919786	-0.359429905	0.544284942	-1.11108686	0.794694754	-0.009734423	-0.425029799	0.414470825	-0.640966359	0.878732839	-0.706863737	0.015681531
O00410	-0.632820856	-0.685455794	-1.301832517	-1.233420605	-0.919336535	0.494823149	0.885049342	0.73252481	0.761707777	0.436710927	0.336058351	0.618455088	0.278774344	0.486724402	1.063334327	0.099890968	0.943885503	-0.235293287	0.053007588	-0.075737145	0.041305314	0.494496274	-0.427022284	-0.344157624	0.313066187	-0.955114264	0.045967779	-0.611665643	0.065124786	0.046386899	0.065124786	0.135834193	0.254859406	0.017755488	-0.310019282	-0.418235178	0.037167468	0.157272928	-0.216870344	0.023586624	0.107372733	-0.227054056	0.128614838	0.140007133	-0.193880596	0.134163581	0.116505536	-0.194399925	-0.149269703	-0.004183053	0.169335919	-0.015586852	0.254859406	0.033505398	-0.810475805	0.068706429	-0.049816641	0.236236882	0.077193144	0.065124786	0.061601202	0.068706429
O00422	0.67939512	-0.359254707	0.375163177	-0.32766499	0.247286596	-0.348269711	0.152647895	-0.374681196	0.089409903	-0.435260371	-0.039657564	-0.371952399	-0.039657564	-0.369796216	-0.002918388	0.141255066	0.039246235	-0.025445226	0.358935308	0.129681598	0.117082544	-0.254889272	0.539328554	0.141255066	0.05451891	-0.152089716	0.031473852	0.223766512	-0.32766499	0.390409874	-0.32766499	0.690170023	0.126416694	0.530479791	-0.330927679	0.253641537	-0.338122152	-0.002918388	-0.359254707	0.274295856	-0.322695663	0.690170023	-0.254889272	0.048949839	-0.343031578	0.476460917	-0.34230453	0.484078672	0.67939512	-0.185146171	-0.018618732	0.213208405	-0.014988064	0.237150891	-0.47900138	-0.322695663	0.2088255	-0.05711929	0.217952031	-0.32766499	0.26061026	-0.322695663
O00567	-0.384820789	-0.001920206	-0.022479614	0.432795328	0.154510929	0.337558712	0.191894359	0.265496945	0.115224767	-0.12576224	0.029573234	0.425569816	0.23788985	0.215566736	0.160664397	-0.229295503	0.127299617	0.036502277	0.187787796	-0.154852442	0.187787796	0.346704184	0.107748481	-0.229295503	0.208353076	-0.269551943	0.259825848	-0.063195067	0.346704184	0.027005049	0.346704184	0.078739306	-0.491273765	0.059322709	0.425569816	0.149571322	0.425569816	-0.045251515	0.068986681	0.212137169	0.435454597	0.078739306	0.337558712	0.267067505	0.315167132	-0.042464819	0.436419798	0.207204393	-0.100469326	0.203940761	0.131360762	0.199337669	-0.042363355	0.181921958	0.144835141	0.435454597	0.08497658	-0.173500803	0.131360762	0.346704184	0.07988799	0.435454597
O00571	0.67278168	0.247733567	-0.074039689	-0.104158475	0.015862384	-0.95158359	0.570519115	0.583743072	0.770593268	0.073659964	0.553788785	0.201320879	0.701608027	-0.82290737	0.449855501	-0.463848181	0.826698696	-0.325890901	0.430043456	-0.681243207	0.263866554	-0.683563015	-0.481334295	-0.514582265	-0.32206557	0.044140509	0.037140783	-0.002264055	0.189913215	0.066142093	0.210320507	0.085567105	-0.032986796	-0.178719221	0.222723645	0.05929073	0.229397215	0.477802969	-0.263993832	0.158443169	0.102454587	-0.106453638	0.031407085	-0.016034367	0.145414456	0.011071976	-0.25704419	-0.13049429	0.194667715	-0.044774778	0.496760674	0.701941378	-0.102815729	-1.047989574	-0.383310595	-0.118399091	-0.35339669	0.065345056	0.016846655	0.335402138	-0.491342287	-0.030714717
O14579	-0.241642702	0.336350809	-0.080768347	0.305525541	-0.213006854	0.430579682	-0.080768347	0.430579682	-0.11686316	0.430579682	-0.206350844	0.430579682	-0.206350844	0.430579682	-0.416320309	0.430579682	-0.206350844	0.430579682	0.004676557	0.430579682	-0.169480097	0.430579682	-0.080768347	0.430579682	-0.080768347	0.336350809	-0.576864774	-0.290737812	0.430579682	-0.290737812	0.430579682	0.004676557	0.430579682	-0.431160964	0.430579682	-0.080768347	0.430579682	-0.248792932	0.212531814	-0.2017089	0.430579682	-0.031584501	0.430579682	0.004676557	0.430579682	0.108838652	0.430579682	-0.135746595	-0.290737812	0.430579682	-0.2211915	-0.426533595	0.430579682	-0.497123269	0.336350809	0.430579682	-0.497123269	0.430579682	-0.497123269	0.430579682	-0.431160964	0.430579682
O14647	0.378796221	-0.748008053	0.655458386	-0.859042966	0.537492513	-0.821015029	0.213209692	-0.843788231	0.443672844	-1.229078128	0.127310328	-0.885185226	0.314639741	-0.417101339	-0.299069589	0.316846711	-0.474686387	-0.594509178	0.253720862	-0.617912823	-0.022083467	-0.425828383	0.603780214	-0.421456138	0.154343191	-0.748008053	-0.080230784	0.903042082	0.251463214	1.168420054	-0.068327519	0.669626342	-1.320675931	0.434359438	0.046449428	0.409719679	0.257950204	-0.52555812	-0.372707987	0.839937344	-1.045464007	0.64481478	0.404615635	0.501425666	-0.395151709	0.574562734	-0.315770304	-0.435323812	0.57843945	0.346704125	-0.440383981	0.330766962	-0.47794644	0.660187691	-0.346485148	-0.632627118	0.191426243	-0.066272979	-0.028484669	0.30903458	0.162212609	-0.00047462
O14737	-0.248671009	-0.225410917	-0.452874309	-0.108398374	0.303113619	-0.207614158	-0.070607234	-0.052736389	-0.289861648	-0.310742508	-0.149648987	-0.18953214	-0.865496199	-0.671876979	0.706410885	-0.189853265	0.464475386	0.078061686	0.409344819	-0.558651786	0.673056472	0.349636168	-0.238944408	-0.297504583	-0.25418232	-0.229401419	0.410481333	-0.517562368	0.549675585	1.06842617	-0.66725655	0.305139319	-0.38261555	0.153433939	-0.225410917	0.495766774	-0.20316717	0.596649563	-0.020570863	0.27607299	0.191666961	0.191766481	-0.013173093	-0.017084116	-0.259364895	-0.2367779	-0.507804306	0.373127723	-0.2367779	-0.259364895	-0.236399062	-0.017084116	-0.013173093	0.373127723	-0.106916045	-0.38261555	0.191766481	-0.013173093	-0.148874015	-0.225410917	0.294449846	0.097924009
O14745	0.368310727	-0.801346868	0.363493361	-0.801346868	0.195243457	-0.276760366	0.167930952	0.262407396	0.368310727	0.012822598	0.46149951	0.382740319	0.363493361	-0.251102575	0.333716126	0.157436863	0.754772621	0.33150746	0.243851339	0.14657207	0.385874569	0.670141428	0.475206274	0.309142657	0.371422469	0.211838798	0.300465437	-0.734866533	-0.645203448	-0.444644048	-0.439611736	0.248357574	-0.291179182	0.64449985	-1.31922542	-0.622402235	-0.542118009	0.352587492	-0.605952266	0.088649652	-0.055707973	-0.140848811	-0.801346868	0.133994898	0.262407396	0.088649652	-0.537421695	-0.140848811	0.419924553	0.262407396	0.352587492	0.133994898	-0.544307136	-0.231874605	-0.766985055	-0.280381963	0.133994898	-0.801346868	0.333716126	-0.801346868	0.044964934	-0.835515626
O14818	-0.4436565	-0.045754867	0.450336827	-0.180839825	0.223933027	-0.10672276	0.034913786	0.026064832	-0.052248512	0.158412099	0.134666032	0.650644356	0.238305045	0.206181849	0.053423718	-0.49527319	-0.019297152	0.168675921	-0.027844905	0.088517435	0.15961227	-0.114670001	0.335452485	0.087977166	0.084091745	-0.06838278	-0.818192855	0.279043671	-0.3614188	0.475639012	-0.255500445	0.354351629	0.18420545	-0.138495371	-0.46382478	-0.573866183	-0.441777831	0.359045671	-0.20817876	0.232477355	0.52150695	0.446768254	0.377215023	0.600095366	0.343169964	0.634586819	0.087103484	0.379571143	-0.144267552	0.287178463	-0.429293647	0.136442092	0.097738841	-0.551146396	-0.356276068	-0.872642237	-0.029278628	-0.146757758	0.014467176	-0.802924774	-0.420814144	-0.342468233
O14979	-0.044231045	-0.135610456	-0.141615368	-0.415996063	-0.133574574	0.612642952	0.156420675	-0.030787275	0.205522266	-0.320138537	0.847969114	0.52070989	1.408945921	-0.051703249	0.180574486	-0.095077322	0.574861814	-0.167457831	0.396487737	-0.270825765	0.465063899	0.026810769	6.74E-05	-0.230196728	0.151989846	-0.944547698	-0.062395496	-0.48116471	-0.573102512	-0.535281673	-0.715889312	0.958013399	-0.469261884	0.378854955	-0.157766163	0.612533807	-0.278761083	-0.011814232	-0.225654767	-0.091467945	0.229418531	-0.08038802	-0.026872836	-0.314032198	-0.264431199	-0.045249072	-0.432649124	0.257267297	-0.182626699	-0.476971948	0.368539655	-0.278235352	0.335824477	-0.331973379	-0.536047828	0.382491596	0.426077365	-0.063676824	0.208265763	-0.017442468	0.069973111	-0.140408044
O14980	0.469679577	-0.058025606	0.028557904	-0.419048535	1.078976679	-1.170925752	-0.322030475	-0.64026054	0.204552751	-0.02488693	0.13994788	-0.315937482	-0.148771517	-0.004458278	0.147474222	0.090951708	0.153907093	-0.27189974	0.435080112	0.066212306	-0.844523527	-0.42675406	-0.330192733	-1.039837935	0.009005231	-0.024371924	1.083902421	-0.223241098	0.55395524	0.300728543	0.256162792	0.934062357	0.644461835	-0.096848668	0.762649398	-0.357732594	0.903404935	-0.185887061	-0.024588863	-0.096561318	-1.28952307	-0.863162531	-0.718489028	-0.644015072	-0.184733293	0.138398464	-0.35536576	0.337127862	-0.174490611	-0.221037815	0.336597759	-0.076396254	0.211951182	0.432017017	0.273497466	-0.009805974	1.206586048	0.125098828	0.185000403	0.173151275	-0.005780183	0.059996754
O15015	0.898819307	-0.137912348	0.599925341	-0.000870149	0.154057442	-0.696709626	0.361819664	-0.826175728	0.120907539	-0.156946881	0.619999157	-0.325280657	-0.05007984	-0.522172937	0.195547155	-0.092215947	0.111989126	-0.262599327	0.230299802	-0.541887766	0.485929726	-0.353619799	-0.186098399	-0.360427409	-0.214008429	-0.422960232	-0.054468282	-0.08040584	-0.714731025	0.063270257	0.138850576	0.530202205	-0.311345805	0.581937201	0.040473053	0.063270257	-0.851983826	0.221785558	0.335428017	0.605674742	-0.102250156	0.570350093	0.577769252	0.103267736	-0.120365638	0.569786768	-0.179328315	0.239570949	0.390828072	1.002970716	-0.292974458	-0.089087096	-0.393677194	-0.896532684	-0.084614751	-0.063295931	-0.007839079	-0.940350987	-0.403054833	0.018110792	-0.608711991	-0.361880519
O15020	-0.097478165	0.632276581	-0.084040721	0.592875639	-0.144472051	0.582948548	0.038736291	0.277512319	-0.103617534	-0.137686885	-0.103617534	0.137057558	-0.055433111	0.360283499	-0.244089766	0.216497028	-0.308300579	0.208844604	-0.103617534	0.184161808	-0.686693658	0.488783719	-0.132225144	0.216497028	-0.132225144	0.419150923	-0.33789222	0.567929809	0.592875639	-0.213075093	0.592875639	-0.401731749	0.055071454	-0.07007863	0.403689965	0.123965933	0.541212079	-0.541864929	0.632276581	-0.448019481	0.285608358	0.279429822	0.213714213	-0.230770314	0.353502598	-0.435786813	0.055071454	0.169246034	0.269633073	0.35627993	0.011831144	-0.352293101	0.055071454	-0.131843278	0.431081144	0.486803795	-0.142213364	-0.097497549	-0.301150662	0.592875639	-0.303806816	0.486803795
O15050	-0.179639991	0.470559866	-0.47694416	0.860591572	-0.18854297	0.59092483	0.375832769	0.244579874	-0.779631364	-0.797084264	-0.75073908	-0.357641876	-0.238990121	-0.140350469	-0.163100903	-0.401081355	-0.324939798	-0.154124869	-0.274686835	-0.070867874	-0.166501224	0.648378095	-0.274686835	0.108082205	-0.365125827	0.091287619	-0.427861081	-0.140832377	-0.079330544	0.030313154	-0.049950074	-0.599120891	0.185388023	-0.996573861	0.285967663	0.313635252	0.310406612	0.72473503	0.323599239	-0.069390751	0.090088319	0.313977687	0.464053845	-0.144169112	0.107589207	-0.275588428	0.528651572	0.192677248	-0.038746118	0.040189775	-0.11067778	-0.256079388	-0.452772552	-0.09487215	0.196877345	0.225615938	-0.496541418	-0.226652711	-0.343499715	0.227978297	-0.245807024	0.225615938
O15066	-0.512866893	0.617550492	-1.008346757	0.029948015	0.025618354	-0.626545006	-0.090132402	-0.728838094	-0.21757132	0.131487781	-0.16714994	0.156505406	-0.748399642	-0.23304923	-0.215335659	0.269894627	-0.139827862	-0.064183549	0.466892633	-0.139033806	0.187681136	0.343576649	0.282897305	-0.168893461	-0.179329063	0.719600462	-0.669121669	-0.255436238	-0.04861557	0.554055414	-0.773055873	0.243351187	-0.762955077	0.043851588	-0.465264723	-0.140465982	-0.370957977	-0.597962275	0.870534715	-0.225826706	-0.978503522	0.680306178	0.017413203	0.146630292	-0.386272775	0.45843421	-0.084750156	0.301464436	0.66620809	-0.499471371	-0.483459183	0.685764944	0.250746827	0.339587283	0.975535278	0.283372687	0.918393746	0.162896957	0.331337312	0.298962159	0.372890719	0.148231696
O15143	0.616570032	-0.413581563	0.73384228	-0.395401358	0.824010239	-0.372597138	0.744152345	-0.430610307	0.504483354	-0.498069524	0.504483354	-0.331223497	0.668230501	-0.508269501	0.587280814	-0.672373967	0.620176241	-0.547900032	0.648957656	-0.740601493	0.577075648	-0.553446766	0.648957656	-0.672373967	0.640346605	-0.553870195	0.651571782	0.819556482	-0.395401358	0.648957656	-0.395401358	0.648957656	-0.689678135	0.728165071	-0.476764403	0.545012152	-0.359702124	0.652115797	-0.413581563	0.524653719	-0.342673379	0.711628995	-0.553446766	0.741144002	-0.417265032	0.640346605	-0.36793489	0.665265824	0.74485794	-0.432533697	0.724230134	0.826830127	-0.368858764	0.728165071	-0.566138704	-0.342673379	0.809114758	-0.635801092	0.563819163	-0.395401358	0.789198262	-0.342673379
O15144	0.893551404	0.244948162	0.037273919	-0.884603871	-0.372670236	-0.535786404	-0.344673382	-0.349627253	0.607245783	-0.374023973	0.352374505	0.329845288	0.323535106	0.001817259	0.429530723	-0.082564645	0.025129486	-0.417568576	0.428302009	0.150181137	0.665628573	0.021578833	0.015103522	0.038421253	0.553326509	0.207866227	0.372853055	-0.48552877	-0.398151297	-0.298582212	-0.26033753	0.583707866	-0.131235029	0.549799895	-0.512974841	-0.284723956	-0.566733453	0.471712964	-0.286649335	0.545537173	-0.634289224	0.368308335	-0.512839392	0.628329635	-0.611092575	0.604907601	-0.358084617	0.372927753	0.390607136	-0.542492412	0.148734432	0.354283589	0.46016284	-0.214806945	-0.506638717	-0.182319712	0.02059345	-0.716201825	0.309401183	-0.49821459	0.324625781	-0.490466986
O15212	0.026293326	0.4487909	-0.013761553	0.12823121	0.191385453	0.015904427	-0.373300338	0.167199115	-0.262655373	0.335318998	-0.262655373	0.527573431	-0.293505708	0.167199115	-0.132410468	-0.166983821	0.031025412	-0.07100701	-0.012456891	-0.398226423	0.370327134	0.214577833	0.264229058	0.172079898	-0.004340613	-0.543714188	-0.044036203	0.023420194	0.117543733	-0.122089978	0.015904427	0.039005262	0.167199115	-0.357078814	0.167199115	-0.073662897	0.125518025	0.196001971	-0.56429794	0.05427053	0.167199115	-0.774831586	0.167199115	-0.05541818	0.24996288	-0.013185867	0.038606588	-0.734196201	-0.489548077	-0.063032718	-0.245366911	-0.057919014	0.167199115	-0.028770935	-0.081336876	0.324271639	0.212696055	0.257791062	-0.0247572	0.167199115	0.039005262	0.015904427
