Protein	i10	i11	i12	i13	i14	i21	i22	i23	i24	i25	i26	i27	i28	i29	i30	i37	i38	i39	i40	i41	i42	i43	i44	i45	i46	i5	i53	i55	i56	i57	i58	i59	i60	i61	i62	i63	i64	i69	i7	i71	i72	i73	i74	i75	i76	i77	i78	i79	i8	i80	i85	i87	i88	i89	i9	i90	i91	i92	i93	i94	i95	i96
P60866	-0.270746464	0.00788743	0.015978095	-0.291551629	-0.321080665	0.051090187	-0.111170622	-0.533797669	-0.400980228	-0.615408161	-0.303780251	-0.090351246	-0.401983918	-0.681169275	-0.309370929	0.525029542	-0.51047025	0.267605332	0.263117024	0.604365368	0.640585264	1.411398858	0.087276627	-0.198284964	0.569931068	0.370749767	0.121344036	0.807766434	0.555797056	0.311373646	0.38951273	0.908906133	0.832987059	0.388250249	0.384813229	0.284203134	-0.271244432	0.005532056	-0.463330118	-0.296802052	-0.363177128	-0.426738687	-0.185155789	-0.166368267	-0.571905905	-0.46624138	-0.349896045	-0.471951333	-0.44532274	-0.480647704	0.634184195	0.514258833	0.176825323	0.18746754	-0.814379528	0.702430789	0.332713742	-0.146991152	-0.373361613	-0.846448913	-0.107985614	-0.065286076
P60900	-0.274879745	0.290666851	-0.110050128	0.095337114	0.409862313	-0.186892917	-0.208955094	-0.286620578	-0.008662915	0.00236838	-0.088860732	0.135070748	0.183101049	-0.050497382	-0.458304197	-0.154457349	0.259030182	0.609073357	0.378598313	0.421484463	0.10324573	0.007101391	-0.052870074	-0.235332011	0.421608562	0.240198351	0.204810658	0.591184404	-0.204532368	-0.204988071	0.244732896	0.417204878	0.275386667	0.902717206	0.014382782	-0.211809585	0.026868638	-0.721783038	0.346888993	-0.404725368	-0.73822783	-0.606458588	-0.505479427	-0.297441676	-0.785629283	-0.23264947	-0.009430282	0.188992873	0.047952873	-0.701090419	1.080729539	0.236988415	0.298325304	0.29039952	-0.480815206	-0.00510751	-0.527734007	0.026866626	-0.526714898	0.630720724	-0.43016496	0.329265311
P60903	-1.021226801	0.617722506	-0.471731812	0.683448434	-0.806645226	0.890385961	-0.805767484	1.154309607	-0.529779318	0.981953235	-0.639456155	0.552283322	-0.639456155	1.154309607	-0.680572196	0.704296411	-0.812296296	0.732670026	-0.552808044	0.810983126	-0.552808044	0.409052738	-0.956038275	0.704296411	-0.437998238	0.596799099	-0.408283707	-1.206228506	0.473069456	-1.0451314	0.51655005	-1.001935581	0.672919879	-1.026877871	0.544923664	-1.018849874	0.617722506	-0.408283707	0.704296411	-0.650857665	0.756459901	-1.001935581	0.409052738	-1.146161304	0.493288047	-0.706991607	0.493288047	-0.527865754	-1.021226801	0.85118883	-0.882353534	-0.667771959	0.704296411	-0.742319379	1.191748014	0.704296411	-0.642989617	0.899168085	-0.882353534	0.559643361	-0.912068065	0.778613907
P60953	-0.771573112	-0.383892414	-0.968540507	-0.189240689	-0.974689135	0.433577052	0.656438341	0.142340573	-0.416222806	0.364349069	0.843372114	-0.622460338	0.325460291	0.238565753	0.494407781	-1.108585869	0.190889984	-0.259306301	0.205984716	-0.406525231	-0.175703125	-0.052080437	-0.343653762	-0.351694882	0.248419313	-1.180989841	-0.723371632	0.256131095	-0.415926716	0.268048821	-0.36138272	-0.86947343	-0.30267628	0.896041861	-1.184641511	0.31294589	-0.556706543	0.318805291	-0.722322866	1.213526767	1.350440741	0.673869085	0.43583274	0.714900123	-0.621491839	0.582921792	-0.203464903	0.680642055	-0.1145287	0.409475934	0.466260738	0.297321771	-0.18534302	0.275822672	-0.104932574	-0.075926334	0.378827271	-0.085679458	0.548841008	0.516420067	0.930230213	0.469223053
P60981	-0.107653773	0.071215022	-0.107653773	0.071215022	-0.107653773	0.071215022	0.069790207	0.071215022	-0.107653773	0.071215022	0.069790207	0.071215022	-0.033351456	0.071215022	-0.033351456	-0.209370621	-0.107653773	0.071215022	-0.107653773	0.100054367	0.069790207	0.071215022	-0.213645066	0.322961319	0.069790207	0.071215022	-0.107653773	-0.107653773	0.071215022	-0.107653773	0.071215022	-0.107653773	0.071215022	0.069790207	0.071215022	0.069790207	0.071215022	-0.107653773	0.071215022	0.069790207	0.071215022	0.069790207	0.071215022	-0.033351456	0.071215022	0.069790207	0.071215022	0.069790207	0.069790207	0.071215022	-0.107653773	-0.107653773	0.071215022	-0.107653773	0.071215022	0.071215022	-0.107653773	0.071215022	0.069790207	0.071215022	0.069790207	0.071215022
P61019	-0.024539752	-0.095796014	-0.458555754	-0.269714335	-0.012105803	-0.044868008	-0.257300782	-0.672789088	0.002225914	-0.610000492	-0.35536964	-0.591347653	-0.506308277	0.111308673	-0.26406527	0.18930312	0.496166216	0.661604237	0.31753736	0.353808092	0.782207787	-0.723166451	0.376642716	0.847222025	0.734811142	-0.078522064	0.675763517	-0.254495355	-0.294547502	-0.465528087	-0.341179805	-0.22328508	-0.672789088	0.012733363	-0.586945774	-0.343868198	-0.236292989	0.682980144	-0.094955258	0.043006104	-0.672789088	0.65808385	-0.571659736	-0.172968745	-0.519333505	-0.127849895	-0.327375932	0.515177117	0.52437441	0.112344394	0.502149513	-0.084149597	-0.630411114	-0.656852932	-0.319211241	-0.672807384	-0.331211904	-0.422480473	-0.318404757	-0.49406559	-0.15915019	-0.272585601
P61026	0.384698054	0.228244971	-0.422865393	0.558214513	0.548119034	-0.121612862	0.008110078	-0.398456507	-0.101524529	-0.934195863	-0.101524529	-0.563757766	-0.010172224	-0.085631376	-0.21402404	-0.228224752	-0.475758889	-0.391790597	-0.101524529	-0.313070014	0.30532488	-0.207129723	-0.258220813	-0.228224752	-0.258220813	-0.302908083	0.393932702	0.662052576	-0.076332733	-0.342709207	-0.076332733	-0.546561023	-0.721330796	0.141812958	-0.275670671	0.121553723	-0.041487824	0.455387131	-0.796230253	-0.657377032	-0.273024613	0.787374712	-0.484962131	-0.280230133	-0.258770604	-0.707984152	-0.721330796	0.680183193	0.211369981	-0.19659797	0.082880949	-0.2549154	-0.721330796	0.145327808	-0.408642825	-0.070414233	0.286556608	-0.962415185	-0.239564889	-0.076332733	-0.198932961	-0.070414233
P61081	1.004899121	1.18329814	0.778500824	-0.471560667	0.87670593	-0.314595656	-0.332278234	-0.044675182	-0.307666944	0.041704535	0.354542163	0.894599286	-0.314546714	-0.191921288	-0.171106304	-0.079534847	-0.013701516	-0.067928785	-0.494960805	-0.981124556	-0.96337062	0.688756245	0.232803254	-0.584936395	-0.382415599	1.312107465	0.705675486	-0.482153427	-0.346517421	-0.107704018	-0.64784474	1.068269755	-0.270331561	-0.272142112	-0.694570111	-0.014682858	0.108592027	0.212850015	-0.07706139	0.178748461	-0.236058251	0.018239631	-0.897816027	0.533617687	-0.649537814	-0.310332555	-0.620047863	-0.227103933	0.630813081	-0.295914228	0.276313383	0.452338673	-0.34929035	-0.129148421	0.754594348	0.044342709	-0.095390342	-0.34929035	-0.401576629	-0.174892338	0.480607544	0.044342709
P61088	0.16275235	-0.296368995	0.217874321	-0.352495348	-0.095095256	-0.147521081	0.551924159	0.207892901	0.43533755	0.386426301	0.43533755	-0.101452638	0.455176452	-0.19709989	0.470821858	-0.211387621	0.524361609	-0.455551341	0.43533755	-0.488772973	0.267010131	-0.398706384	0.553738793	0.26326899	0.697135889	0.524790722	0.214538701	-0.302393465	-0.113747884	0.089130642	0.463516817	0.354281076	0.851770081	0.032889467	0.296772538	-1.105829942	0.231365554	0.107265798	-0.290851724	0.541613069	-0.02974796	0.196210982	0.149721857	0.569523536	-0.480313427	0.330083793	0.093686321	-0.500325916	0.097864518	-0.100880396	0.072397549	0.351534245	0.380063859	-0.248119801	-0.996844737	-0.239238284	-0.145472273	0.363955858	0.203886094	-0.024939095	0.320461654	-0.239238284
P61106	0.096339051	-0.104433579	0.312417183	-0.011347714	-0.107155387	0.038053534	0.228121217	-0.13656948	0.408246991	-0.050700215	0.408246991	-0.058760286	0.26171024	-0.150514105	0.237893206	-0.104433579	0.478487139	-0.104433579	0.352821636	0.133627032	0.369974008	-0.093057203	0.352821636	-0.104433579	0.392789134	-0.104433579	0.322364479	-0.332422259	-0.70254802	0.352821636	-0.186817172	0.352821636	0.899422972	-0.000650382	-0.33721558	0.448214489	-0.368666813	0.224958113	-0.104433579	0.322548987	-0.381944932	0.105386473	-0.33721558	0.386890353	-0.150514105	0.392789134	-0.191163564	0.115225782	0.145092152	-0.0134618	0.112516983	0.06893242	-0.159241673	-0.000650382	-0.054269418	-0.017897809	0.023166652	0.006166236	0.331977292	-0.017897809	0.170113454	-0.16508184
P61158	0.492586759	-0.541453122	-0.010090108	0.299010166	0.757999691	-0.909166994	1.146944272	-0.41847865	0.930611383	-0.242076861	1.113563599	-0.587660713	1.117847621	-0.741490709	1.052472817	-0.126539623	0.137183945	0.146120831	0.652470429	-0.270598218	-0.164087661	0.078725689	0.08626586	-0.000418512	-0.10210689	0.098240944	-0.332831941	-0.018805924	-0.969441738	-0.783047538	-0.197502778	0.182676475	-1.082576303	0.334689749	-1.784716695	-0.972091917	-0.386468336	0.51819268	-0.189044948	0.733293349	0.513238768	0.060786348	-0.016407124	0.629977285	-0.049705099	0.787398149	-0.037483876	-0.447841034	1.142635144	0.53999322	0.360921904	0.879710041	-0.137685681	-1.64044676	0.405666768	-0.059235137	0.59231318	-0.522853821	1.028363392	-0.24061928	-0.306268008	-0.06809269
