Protein,i10,i105,i106,i107,i108,i109,i11,i110,i12,i122,i123,i124,i125,i126,i127,i13,i136,i137,i138,i139,i14,i140,i141,i15,i151,i152,i153,i154,i155,i156,i167,i168,i169,i170,i171,i172,i185,i186,i187,i188,i189,i190,i202,i203,i204,i205,i206,i207,i216,i217,i218,i219,i220,i221,i232,i233,i234,i235,i236,i237,i247,i248,i250,i251,i252,i26,i27,i28,i29,i30,i31,i41,i42,i43,i44,i45,i46,i57,i58,i59,i61,i62,i71,i72,i73,i74,i75,i76,i88,i89,i90,i91,i92,i93
A0A1B0GX78,0.195591399,0.15352134,0.244738451,-0.364624287,-0.07427733,0.251051657,0.049256987,0.046984316,0.207529134,0.198071267,0.097650558,-0.32436154,0.013966624,0.259606122,0.310415932,0.304811805,-0.116850305,-0.263702833,-0.407281581,-0.314532246,0.082840775,0.307589459,-0.214804873,0.424291019,0.177744608,0.083647592,-0.104760255,0.381466679,0.092697543,0.105616685,-0.138871319,0.01326772,0.023639407,-0.307783947,-0.451718581,0.21482305,-0.460515515,0.096563303,-0.246857487,-0.095089583,0.001132644,0.22831873,-0.176287742,-0.148391856,0.131303198,-0.100619688,-0.146012664,-0.217619458,0.164191874,0.185643904,-0.09098417,0.280665593,0.35107347,0.211549341,0.691058024,-0.037930426,0.184321552,0.202512629,0.034822955,0.094713133,0.307456671,-0.136545787,0.099847167,0.127763949,0.495347839,0.271866411,-0.160853555,0.169363909,0.089119472,-0.224296094,0.093209321,0.314356409,0.10837712,0.338010513,0.379128686,0.075093768,-0.438097431,-0.041697497,-0.301262068,0.218210139,-0.256923016,0.516998156,0.305766839,0.52171261,0.105440419,0.083670221,-0.032633375,-0.040613473,0.271146735,0.204955481,-0.346615999,-0.281757592,0.300636539,0.177503779
A6NFK2,0.684505815,-1.190058014,-1.1442758,-1.184918175,-1.153178845,-1.159611889,0.453239953,-1.171344956,-0.896417728,-1.101783034,-1.300364081,-1.093109419,-1.178174327,-1.259937684,-0.832734756,-1.123837383,-1.419282424,-1.409570498,-1.415445733,0.18314782,-0.877602475,-1.448595801,-1.426585398,-0.903830177,-1.152098243,-1.116576322,-1.152015953,-1.131381589,-1.141761337,-1.115046756,-1.140021502,-1.189584843,-1.144380605,-1.175116142,-1.181189511,-1.171784877,-1.031942601,-1.027411474,-1.073114729,-1.079656124,-1.042767695,-1.031647532,-1.175605265,-1.169698886,-1.1986812,-0.210059096,-1.190328278,-1.178603558,-1.046282501,-0.239449177,-2.149904242,-0.006177128,-1.034931494,-1.038491129,-0.40343587,-0.730600747,-0.398491523,-0.53329374,-1.723706081,-0.459503993,0.35084396,-0.148477345,-0.125669887,0.140254338,-0.020100823,-0.101946646,-1.360630552,0.089305049,-0.420654912,-2.365837952,-0.422018007,-0.729212481,-0.966542185,0.411244304,-0.740229235,-0.74936562,-0.962876151,0.06603945,0.146281278,0.632321627,-0.579759869,-0.199945786,-1.214905151,0.118953336,0.535701403,0.133631937,-1.350874578,0.131397963,-1.16892635,-1.176765647,-1.220976412,-1.204864164,-1.18473051,-1.179403792
A6NFN9,0.970011089,0.06056607,1.152419071,0.262183787,1.247863658,0.783267943,1.042563476,1.159163337,0.153470858,1.429725613,-0.343085961,0.988730024,1.499523652,0.073093815,0.05362887,0.584202196,0.951772565,0.620394272,1.006848178,1.006078487,-0.103642812,0.305842739,0.372284134,0.738181932,0.635032427,1.381679186,1.263655721,0.630909258,0.036981028,0.847058478,1.85868016,0.505386406,1.415088805,0.019993456,-0.849996228,-0.45726016,-0.085662121,1.288692043,-0.171636913,0.636130202,1.499140685,0.595580983,1.428356171,0.992958854,-0.249086768,1.127806961,0.70152491,0.201069823,0.369055438,0.590009827,1.615697133,0.676559845,0.046104087,0.595062692,0.260576748,0.653493734,0.815461811,-0.219418836,0.163502307,1.47040463,0.212072164,0.245964985,0.885827136,0.06082852,0.195693879,0.684383935,0.503011365,-0.163003476,1.19476805,0.576908187,1.306613591,1.265995727,-0.410153567,0.535473271,0.607072081,0.123933412,0.559182249,-0.018601639,0.938045734,0.083373044,0.673971434,0.333547946,0.603459506,0.313397101,1.039460461,0.444003498,-0.158242074,0.743315674,1.370691728,0.84372439,0.697015103,0.362693585,0.830720207,1.262447228
A6NHQ2,-0.053324929,-0.197302805,0.709476713,0.15568273,-0.202629557,0.439738431,0.591079646,0.033606526,-0.311489934,-0.089559335,0.213449876,0.505482729,0.083327419,0.255653267,0.614560552,0.202130375,0.193382813,0.502049042,0.639589272,-0.078955974,0.21958161,0.342607896,0.088142506,0.115904231,0.182718149,0.829778352,0.222492592,-0.136828136,0.44526454,-0.332722731,0.230560879,0.330630895,0.223160087,0.175748711,0.396338479,0.47080639,-0.231454684,-0.292036424,-0.245084635,0.172518296,-0.047573736,0.011826563,0.220538367,0.486291848,0.192299357,0.213602925,0.519831568,0.091141085,-0.062443785,0.087506228,0.542687965,-0.007960704,0.070483375,0.092559093,0.258613767,0.36953025,0.298422264,0.385435428,0.304603513,-0.136854824,-0.498395896,-0.296083177,-0.273275719,0.178724653,0.450341979,-0.157792796,-0.149733091,0.252365453,0.007159392,-0.204596668,-0.159304827,0.091420409,0.524192323,0.134923605,0.441660692,-0.331629496,-0.318957313,0.236098127,0.127132789,0.132219559,-0.396803131,0.015858738,0.014328828,0.083545282,0.536772476,0.098223884,-0.009741821,-0.116571796,0.550928516,0.03567379,0.474906384,0.491018632,-0.217480881,0.244742496
B4DXR9,-0.201778121,-0.251636609,-0.006750393,-0.013940272,-0.256963361,-0.263396405,0.028544912,-0.275129472,-0.198725912,-0.077308579,0.121651354,-0.321208791,-0.326352031,0.120919822,-0.313506972,-0.197361893,-0.459292871,-0.149504659,-0.155379894,-0.165732135,0.075777365,0.073143925,0.051648617,-0.206138361,-0.324548853,-0.067411624,-0.054985464,-0.336994696,-0.054506171,-0.065882058,-0.094814846,-0.243454595,-0.501300151,0.419130352,0.068217533,-0.104352548,-0.026197477,-0.02166635,-0.276007865,-0.028469314,-0.291102517,-0.279982353,-0.322760227,-0.038996014,-0.063269673,-0.051837835,-0.337483241,-0.057979871,-0.36417749,-0.098444429,0.106891495,-0.379824461,-0.089831929,-0.093391564,-0.126300124,-0.140994448,-0.121355778,-0.155800035,0.110432472,-0.418758976,0.22911868,-0.191357464,-0.168550006,-0.173816658,-0.175857159,0.049848816,-0.211952447,0.059761239,-0.220161089,-0.190908631,-0.209402879,0.055595139,-0.1921158,0.024405204,-0.21386776,-0.223004146,-0.210331963,0.024981363,0.024536152,0.029622922,-0.535649851,0.021222502,-0.194001336,0.045099316,0.049530723,-0.195186372,-0.218071985,-0.197420346,-0.238864777,-0.233620082,-0.248320607,0.166996051,-0.254668936,-0.249342218
C4AMC7,0.574548872,0.272765034,0.004522776,-0.514502131,0.10984494,-0.519050929,-0.405134508,0.46415631,-0.62839968,0.208186184,-0.262756474,0.215731429,0.636294038,-0.966125436,-0.021373084,-1.024254274,-0.274662501,0.42216948,-0.14259571,-0.224562453,-0.422182567,-0.203459596,-0.075254965,-0.425995375,0.110135561,0.38814792,0.080176652,0.350276466,-0.549656325,-0.206825655,0.102169808,0.339709792,-0.15571831,-0.606063082,0.004854804,-0.269360633,-0.267052959,0.711366669,-0.142483235,0.210126539,0.627561777,-0.728377497,0.235111594,-0.045578962,-0.06384058,-0.455531008,0.296745913,-0.220355947,-0.767087777,-0.675947293,-0.093795356,-0.921873061,-0.533118747,-0.536678383,-0.660498922,-0.744482291,-0.262642459,-0.933441371,-0.424071023,0.35798841,0.004147193,-0.619323018,-0.575594339,-0.664065739,-0.66610624,-0.026209611,-0.92224911,0.325290807,-1.178171443,0.349755006,-0.238076644,-0.300783775,-0.504816795,-0.605985473,-0.427781045,-0.454110236,-0.502791124,-0.801667381,0.530107855,-0.251411999,-0.629261132,-0.075175914,-0.450722077,-0.686490536,0.614008284,-0.547757052,-1.152830097,-0.468808736,-0.480535556,0.713666731,0.391812903,-0.336455879,-0.471804345,0.571780281
E9PAV3,0.353912448,-0.599379703,-0.200783705,-0.16104969,0.26014587,-0.396764004,-0.225810731,0.04281661,0.089016561,0.457194237,-0.673479351,-0.232544275,0.10076954,0.15970358,0.544042794,-0.264550786,-0.1793617,0.040331872,-0.597295487,0.179032702,-0.171746657,-0.120622574,-0.305453533,-0.237374971,0.367991646,-0.400297383,-0.023911926,-0.14147292,-0.764130215,0.476938017,-0.115997888,0.119418713,-0.277349726,0.062520593,-0.406800885,-0.276941239,-0.073193078,-0.045356019,-0.430796236,-0.11445321,0.092287493,0.068196057,-0.265100971,-0.133974612,0.253862718,-0.165527591,-0.046685977,-0.511024088,-0.328562931,-0.313540062,-0.200096562,-0.057665544,-0.212348742,-0.308487197,-0.017626108,0.016528692,-0.19334015,0.178879031,-0.281354685,-0.341215098,-0.641143456,-0.162609643,-0.133918039,-0.266904467,-0.117738513,-0.080790514,-0.623311306,-0.201401962,-0.22620531,0.078968926,-0.35436252,-0.157771074,-0.082580632,-0.334940189,-0.168787828,-0.269631342,-0.382260179,0.181599476,0.694559009,-0.501527773,0.160320721,0.352204677,-0.124505461,-0.513830819,0.191673488,0.16030831,-0.137182607,-0.141871514,0.085466519,0.314178772,-0.342422945,-0.0032661,0.377038812,0.271977932
O00154,0.261149215,0.26803409,0.271610382,0.273173928,0.262707338,0.256274294,0.235784225,0.244541227,0.264201424,0.301641938,0.316969995,0.310315553,0.305172314,0.316238463,0.318017372,0.265565444,0.326092356,0.335804281,0.329929047,0.330461957,0.283016678,0.340284689,0.318789382,0.256788976,0.268075475,0.255731604,0.268157764,0.255629632,0.27841238,0.25726117,0.309041918,0.30081423,0.304682815,0.315282931,0.309209562,0.318614196,0.271126566,0.275657693,0.275396124,0.268854729,0.260301472,0.271421636,-0.398714126,-0.392807747,0.555889764,-0.405649568,-0.413437139,0.561179566,0.352478493,0.355217,0.352248553,0.336831522,0.3638295,0.360269865,-0.160423416,0.288283578,0.307922248,0.273477991,0.314103497,0.461376098,0.377653864,-0.666468829,0.362163294,0.356896642,0.354856141,0.349452227,0.342716344,0.35936465,0.334507702,0.363760161,0.333144607,0.35493081,0.365666016,0.323740875,0.343914056,0.33477767,0.347449853,0.27570326,-0.676362866,0.280344819,0.272231601,0.271944399,0.35728265,0.341419012,0.345850418,0.356097613,0.333212,0.353863639,0.31559534,0.320840035,0.306139509,0.322251757,0.299791181,0.305117899
O00170,0.244806313,-0.258770453,-0.333299492,-0.433128211,-0.357600884,-0.113177504,-0.314172619,-0.664447775,-0.64125873,-0.29748806,-0.280648806,-0.402679338,-0.508221942,-0.143415721,-0.189768687,-0.018602112,0.109121906,0.118833832,0.30970526,1.166444176,-0.344511672,0.266958809,0.597344667,-0.558141835,-0.33807626,0.056911336,0.241791607,-0.352351066,-0.537518275,-0.754393068,0.686715551,-0.408220866,-0.367567802,0.336240366,0.330166996,-0.60309968,-0.517930573,-0.642160638,0.158130137,-0.305500412,0.02435786,0.584056305,0.133668066,0.109362043,-0.562871046,0.126732623,-0.031355943,-0.603718423,0.160415385,-0.347952576,-0.319072219,-0.261385994,-0.983636131,-0.547940924,0.279469855,-0.441189104,0.240009399,-0.381465123,0.688781676,-0.210170366,0.485944655,-0.034016682,0.087947966,-0.464113313,-0.894780827,0.05671134,-0.714645794,-0.527743452,0.493712434,0.240973877,-0.569980343,-0.16737207,-0.325801344,-0.052476429,-0.045490948,-0.651419409,-0.289863302,0.387283662,-0.098025843,0.392254663,-0.577489725,0.715207671,-0.414475606,-0.357369567,0.100608267,-0.184131049,-0.674992822,-0.72731086,-0.223103729,-0.876339101,-0.003401456,-0.216447312,-0.637877255,-0.23358117
O00192,-0.044031241,0.226662116,0.104156524,-0.029373594,-0.018713194,0.099114809,-0.538548599,0.105812504,0.218439187,0.237171625,0.131266816,-0.147892693,0.132876213,0.228352174,0.000610176,0.225168809,-0.201227036,0.073479156,-0.331506806,-0.67617461,0.213697088,0.145589401,-0.115628828,0.569562368,0.001773928,-0.169324604,0.219599763,0.033794262,0.186805873,0.281234693,-0.045463388,-0.200556747,-0.220185571,0.011486463,0.007120956,0.322184066,-0.194999428,0.214193072,-0.226084846,-0.017734778,0.221867025,0.409842899,0.100261032,-0.13470123,0.110209619,0.225811087,0.27077642,0.200598947,0.319267576,0.329584142,0.209220283,0.200332669,0.416270908,0.393315951,0.330427583,0.278404293,0.118240111,0.314182067,0.014427259,0.019132418,0.177932817,0.294381696,0.237849357,0.249323691,0.387791337,0.055518676,0.071060101,0.064043273,0.322368496,0.158083086,0.308567432,-0.376194989,0.144412423,-0.39904511,-0.184916229,0.362908774,0.33352078,0.281720016,-0.333541429,-0.330999574,0.465960015,-0.223387535,0.430340476,0.414476838,0.231755354,0.239233032,0.225777278,0.404538188,-0.019419212,-0.059428739,-0.0583056,-0.247778376,-0.026075435,0.341534142
O00193,-0.137267301,0.222804791,-0.128048725,-0.275922781,-0.064987841,0.173028314,0.217593228,0.107229179,-0.213787908,-0.112137921,-0.284601397,0.402200772,-0.310612738,0.536071945,0.179585545,0.404706504,0.251205448,0.029121852,0.266613183,-0.657382264,0.216421077,0.328441461,0.269058747,0.183233579,0.070237356,0.241698561,-0.048621927,0.472444117,0.266291111,0.644234169,0.006075715,-0.00657087,-0.057189871,0.010680185,0.343372986,0.353882609,-0.091872982,0.052394176,-0.484358404,0.008925535,0.164618561,0.394329499,0.20578106,-0.726018671,0.39794563,0.438696072,0.194576496,-0.183189777,0.182759297,0.191131784,0.245108882,0.167112326,0.284211681,-0.006298943,-0.132806545,0.730428373,-0.64530316,-0.066695816,0.132427651,0.44057164,0.081136325,0.111872829,0.362716777,0.596772461,-0.038467869,0.02290814,0.135639678,0.051573535,0.538392001,-0.254370415,-0.24502699,0.241865222,-0.098313309,-0.246102457,-0.431622115,0.613384097,0.416198556,0.045429112,-0.86782934,0.114070755,0.63464963,0.03302955,0.120284429,0.142260224,0.12717494,-0.23779416,-0.042105288,0.539132578,-0.10204704,0.672783024,-0.050569671,-0.500389851,0.628078189,-0.379721306
O00264,0.174508259,-0.086878137,-0.071817663,-0.081738299,-0.080720707,-0.087153751,-0.321460873,-0.098886818,-0.013944492,0.086817583,-0.351392844,-0.119136912,0.090347959,-0.054653716,0.103193017,-0.291679654,-0.231070835,-0.221358909,-0.023948751,-0.116470775,0.004870762,0.027285812,-0.24732299,0.115204355,-0.21591492,-0.015367036,-0.002940875,-0.228360763,0.048319243,-0.217752333,0.105198049,-0.160817578,0.209816183,0.310315593,-0.465764299,0.098624317,0.042147611,-0.059965133,-0.060226702,0.3461337,-0.271992416,-0.202435218,0.229748118,0.082121603,-0.374453772,-0.129809474,0.061492212,0.062958183,-0.061714587,-0.069197886,-0.141158243,-0.319777086,-0.003671445,-0.007231081,0.008793979,-0.251925636,0.013738325,-0.266731223,0.327612491,-0.236151617,-0.228204998,-0.266503026,0.01862886,0.013362208,-0.040319667,0.170724852,-0.240094538,0.016201842,-0.24830318,-0.219050721,-0.13682689,-0.183048234,-0.172313029,-0.214238169,-0.194064989,0.147547693,-0.190529191,-0.192836537,-0.032555303,-0.027468532,-0.114849183,-0.047937877,-0.043283622,-0.05914726,-0.197842563,-0.044468659,-0.132052655,-0.046702633,0.155513554,-0.05403426,-0.226260601,-0.123664547,-0.146125123,-0.059230849
O00299,-0.309986551,0.335366916,-0.172525528,-0.101628883,0.247512241,-0.139113696,0.279182668,-0.51005398,-0.542716954,0.085652283,-0.147352011,-0.067033485,-0.180556212,0.344177886,-0.219765197,-0.00553967,0.331769365,-0.465222211,-0.325434807,0.237313436,0.522537881,0.045575344,-0.202014775,-0.934332838,-0.456820288,0.127996802,-0.37546955,0.219690813,-0.800262734,-0.059120553,0.41708465,-0.295919631,-0.137536487,-0.12659688,-0.010777437,0.013318879,-0.166705645,0.363331345,-0.111399807,0.268237116,-0.307754478,0.484927195,-0.245222318,-0.402258834,-0.590472565,0.632951939,-0.053691041,0.68502291,0.461131495,-0.465986052,-1.185504051,-0.001863839,0.566889191,0.021972214,0.312749515,0.076758115,-0.357593145,-1.069707702,-0.130563641,-0.317879932,0.1843943,-0.438291828,-0.809408931,0.093984512,0.046524474,0.612946165,0.181026055,-0.144958959,-0.552225006,-0.893100466,0.100634088,-0.109927411,1.053383246,0.157900808,0.507797037,-0.130080551,-0.741667026,0.013202556,-0.486995924,0.490173849,0.03715443,-0.39207644,0.155986533,-0.026273485,-0.058925428,0.341470123,0.022998486,-1.357069919,0.100292371,0.032537358,-0.412469732,-0.00230014,0.660794192,-0.038844401
O00303,-0.361756617,-0.019063608,0.315554722,0.418024807,0.132748252,0.238481064,-0.512600777,-0.088344037,-0.242807212,-0.165614773,0.053113078,0.713748222,-0.512625814,-0.275464188,0.259803956,0.216832323,-0.260076741,-0.201280633,-0.054884943,-0.010529938,-0.343088427,-0.245884408,0.023333354,0.585450436,0.249272221,0.286333109,0.379508532,0.286231138,0.177969116,-0.013690755,0.128419688,0.056974985,0.124060585,0.071443687,0.231911938,0.241316573,0.247853921,0.252385047,0.252123478,0.245582084,-0.239577797,0.199581791,-0.229215931,-0.032803403,0.266457743,0.267810395,0.260022825,0.271747544,-0.058527312,0.139535799,-0.007964951,0.765762501,-0.08452609,-0.085242154,-0.209162319,-0.225479165,0.422842917,0.517589981,-0.063634125,-0.007010505,-0.216190401,0.180036527,0.055236766,0.463253844,0.159589258,-0.138714165,0.28851852,-0.071794484,-0.336507674,0.303955423,-0.229512682,0.171256244,0.279528171,-0.21640822,0.846628588,0.388462667,0.15789151,0.689253065,-0.387315016,0.301642127,0.116258705,-0.147899425,-0.079858049,-0.095721687,-0.235924909,-0.079075794,-0.226212589,0.228958064,0.361063667,-0.192458829,0.294668305,0.310780553,0.288319977,-0.208180964
O00400,-0.196950439,0.261934982,-0.457273075,0.101670658,-0.265126957,-0.164358744,-0.209745705,-0.283293068,-0.345239246,0.254200464,-0.01904794,0.032910253,-0.273691624,-0.046659983,0.202541112,0.027428278,0.044249494,-0.493022008,0.15247553,-0.125838527,0.073539765,0.373742486,-0.252276933,-0.142344725,-0.463064561,0.264870467,-0.105630043,0.193358972,0.158699263,0.435098132,0.126807861,-0.186025051,0.122448758,-0.076874538,0.045119501,-0.168225084,-0.02069073,0.35275752,-0.395416358,-0.185540195,0.556294353,-0.143722408,0.099294156,0.162032669,-0.461265718,-0.157891409,-0.129185793,0.398364229,-0.161937607,-0.1591991,0.055174668,-0.047220176,-0.1505866,-0.154146235,-0.10194003,-0.116634354,-0.096995684,-0.131439941,-0.189536641,-0.208281111,-0.188990163,-0.330024825,-0.08990952,-0.066637816,-0.068678317,0.325991384,-0.085060513,-0.146804532,-0.301138172,0.0835539,-0.09463225,-0.156168617,-0.145433411,-0.032579056,-0.167185371,-0.211992567,-0.163649574,-0.21661741,0.101094348,-0.436171671,-0.22008907,-0.026882388,-0.18083354,-0.196697178,0.267115425,-0.182018577,-0.20490419,-0.184252551,-0.553517547,-0.083539765,-0.096791049,0.10913603,-0.345729254,-0.379770769
O00410,-0.059231811,-0.374961818,-0.154628574,-0.700395992,0.411474861,0.230143466,-0.073835817,-0.020483536,-0.12129899,-0.029465142,-0.124235553,-0.431456351,-0.004557758,-0.406750769,-0.241266804,-0.502822595,0.247557228,0.111385783,-0.061969912,-0.753642533,0.048764015,0.116914652,0.006835081,-0.130686412,-0.295306076,-0.018338855,-0.153847331,-0.363468169,-0.318271609,-0.32143772,0.137276625,0.173441915,-0.279063671,-0.65128192,0.245547289,0.239242189,0.005087868,0.044664878,0.493491682,-0.223951891,0.29096897,-0.293811581,-0.285728407,-0.032744789,0.239634962,0.013650276,-0.058319103,0.069585864,-0.129052196,-0.165743472,0.111085426,-0.18412895,-0.157130972,-0.160690607,-0.221537741,0.092390488,-0.216593394,0.077584902,-0.02688096,0.105082896,-0.34754278,-0.073094202,-0.169225154,-0.174491807,-0.176532307,-0.276825603,0.064691019,-0.16302786,-0.512312518,-0.317022574,-0.167886871,-0.02659362,-0.038774503,-0.30671262,-0.257852649,-0.230335259,-0.37302011,0.19855879,-0.314471821,-0.314049492,-0.452119625,-0.238935662,-0.386356115,-0.219850465,0.162839054,-0.205171864,-0.238396117,-0.207405838,0.292661751,-0.326895102,0.278764058,-0.717912326,-0.334154946,-0.244369475
O00422,0.169487361,0.345275698,0.233300464,0.350415537,0.224397419,0.217964376,-0.020231192,0.206231309,0.381611079,0.118743341,-0.052088844,0.477785941,0.122273717,0.33191528,0.135118775,0.009550026,-0.12565252,-0.115940594,0.463003022,-0.078799358,0.400426333,0.455015415,0.014156813,0.312458216,-0.009204408,0.368746771,0.381172931,-0.021650251,0.375071201,-0.151196111,0.160067119,-0.447228108,0.486236735,0.233837692,-0.065621464,0.403481125,0.288551657,0.260568952,0.260307382,0.395024074,-0.202365149,-0.032103485,0.525984275,0.084610645,-0.102792532,0.272186763,0.063981253,0.201281152,0.30099676,0.42789768,0.249429146,-0.084073423,0.296866111,0.293306475,0.372747863,4.64E-05,0.37769221,-0.014759213,0.505173338,-0.118466802,-0.050444733,-0.088742761,0.293782337,0.288515685,0.42839815,0.24146795,0.034142018,0.506547727,0.025933377,0.055185835,-0.089138586,0.090949067,0.101684273,0.059759132,0.079932313,0.464049864,0.08346811,0.219624413,0.13158005,0.136666821,0.390247262,0.251434399,0.264124346,0.248260708,0.217761694,0.26293931,0.376092957,0.260705335,0.109358863,0.435668226,-0.019550212,0.262266404,0.239805827,0.29626939
O00567,0.265215817,0.514455918,0.123994514,0.579724702,0.192206808,0.478937735,0.120379406,-0.146831129,0.052668521,0.415612028,0.044997559,0.254416031,-0.334504113,0.466249693,0.311917742,0.102269027,0.477890732,-0.3261689,-0.376308412,0.736469834,0.885499444,0.381501958,0.470587759,0.111749033,0.061438307,-0.21767095,-0.606974052,-1.07509231,0.338365174,0.187506365,0.306804122,-0.915494288,-0.380915846,-0.653724734,0.315880787,0.234821939,0.822024929,-0.094249724,0.52492147,-0.284507054,0.11067421,0.376528499,-0.286637544,-0.158891848,-0.024515741,0.350397652,0.517291465,0.186191408,0.639690574,0.64242908,0.106289607,0.34592969,0.651041581,0.647481945,0.574140157,0.559445833,0.099227577,0.544640246,-0.321893728,-0.012982833,-0.438389415,-0.021534981,0.569190514,0.82430698,-0.057274877,0.122187835,0.690696039,-0.418502191,0.50157692,0.144709648,0.245538632,0.576379723,0.034310374,-0.007614766,0.062022416,-0.598846528,-0.271997904,0.231987377,0.654984919,0.084069458,-0.39802316,-0.504010608,0.171323596,0.583897024,-0.351488431,0.530783952,1.071918752,0.596341651,-0.352248316,0.016877672,0.751874196,0.381782012,0.54914533,0.095015559
O00571,0.124249234,-0.034347843,0.017685928,-0.029208005,0.008782883,0.002349839,-0.015543009,-0.009383228,-0.109319946,0.170224174,-0.02844172,-0.040172994,0.17375455,-0.128779649,0.186599608,0.014238209,0.032148611,0.041860536,0.028325624,-0.102045679,-0.090504692,-0.143453264,-0.014667284,0.235855024,0.006336404,0.026899044,0.039325205,-0.006109439,-0.138577227,0.036341566,0.121562241,0.127808573,0.122215471,-0.043359046,-0.223269351,0.082325826,-0.136867412,0.012056403,0.011794834,0.151902451,0.00468207,0.020030643,0.130969696,0.176533932,-0.087592264,-0.061581724,0.155904541,0.137041946,0.041889198,0.007659434,0.000894588,-0.003559652,-0.117164779,-0.120724414,-0.12227455,0.011265765,-0.117330203,-0.003539822,0.164340438,0.057316018,0.037335265,-0.000962763,-0.113647882,-0.118914534,0.007631628,0.12651205,-0.011998911,-0.136070071,-0.020207553,0.009044905,-0.114319385,-0.010651568,8.36E-05,-0.041841503,-0.021668323,0.254814943,-0.018132525,0.025125987,-0.063441996,-0.058355226,0.025264361,-0.101909144,-0.084932112,-0.10079575,0.017841775,-0.086117149,0.008547779,-0.088351123,0.277321588,-0.019179528,0.012889816,-0.021472232,-0.043932808,0.001171003
O14579,0.217798686,0.250140156,-0.054630769,0.255279995,-0.063533814,-0.069966858,-0.125076752,-0.081699925,0.14143499,-0.007930261,-0.103696047,0.246875995,-0.004399885,0.18269184,0.008445173,-0.095295534,-0.244437223,-0.234725297,0.016394965,-0.102312958,0.160250244,0.222284084,-0.005770371,0.271574916,-0.007059846,-0.006980858,0.005445303,-0.019505689,0.236011677,-0.295013626,-0.043695202,-0.142424154,0.199480794,0.143739981,-0.224652228,0.289410938,0.11559259,-0.01516237,-0.015423939,0.248554949,-0.282908704,-0.086969928,0.318044943,-0.005858808,-0.103793977,-0.090888991,-0.026488199,0.242955584,-0.085476266,0.242819036,-0.009232253,-0.115716418,0.184675802,0.181116167,0.165781134,-0.052106077,0.17072548,-0.066911664,0.312364452,-0.286991923,-0.089297899,-0.127595927,0.151309829,0.146043177,0.206535193,0.271543974,-0.064055929,0.19920073,-0.072264571,-0.043012113,-0.202824379,-0.044572416,-0.033837211,-0.075762351,-0.055589171,0.348582711,-0.052053373,-0.021743626,-0.147617763,-0.142530992,0.192911232,0.134164781,0.11848174,0.102618102,-0.076013288,0.117296703,0.161436184,0.115062729,0.045368247,0.287834974,-0.148565187,0.037129292,0.014668716,-0.057410198
O14647,-0.757890693,-0.426124723,-0.495135544,-0.558239926,-0.84574308,-0.972245214,-0.261820598,-0.539161342,-0.515349597,-0.143284694,0.069349854,-1.0756352,-1.074365095,-0.538778295,-1.012384655,-0.898304892,-0.699758393,-0.385649237,-0.51954055,-0.854640283,-0.476343728,-0.906546563,-0.517503691,-0.118252116,-0.893808387,-0.769167148,-0.490607759,-0.769269119,-0.397254222,-0.784050598,-0.545380288,-0.215472322,-0.619427493,-0.222723573,-0.562677502,-0.90165501,-0.32223858,-0.692559983,-0.427953079,-0.699362947,-0.705885622,-0.826638059,-0.560398013,-0.113876071,-0.555399332,-0.567333456,-0.874966145,-0.760796474,0.13916257,-1.12169516,-0.858077892,-0.331983086,0.149568873,-0.195220492,-0.401800227,-0.416494551,-0.556917294,-0.471329769,-0.296508311,-0.560246695,-0.592680956,-0.22042621,-0.31885853,-0.324125182,-0.326165683,-1.16707233,-0.179340044,-0.375829395,-0.432140028,-1.128945473,-0.064530217,-0.83395381,-0.625334129,-0.464611548,-0.810478597,0.232946142,-0.768814895,-0.895882566,-0.461871358,-0.426878344,-0.899354225,-0.081967217,-0.332002967,-0.347866605,-1.008405912,-0.2445995,-0.573680734,-0.246833474,-0.732584932,-0.701126833,-0.557609811,-0.832633761,-0.663984137,-0.716848969
O14737,-0.183125365,-0.22660173,-0.285208239,-0.085333592,0.476598706,0.390184082,-0.277972974,0.253312391,-0.296369944,0.070713694,-0.531556027,0.40190657,0.376069791,0.136784499,0.05416852,0.514975925,0.150509487,0.047934028,-0.860601626,0.232609464,0.069275377,-0.414939685,-0.140410327,0.184603159,-0.053799965,-0.243470661,-0.892451943,-0.253170688,-0.063171232,0.450809186,-0.341530772,0.486222964,-0.811732452,0.014894432,-0.302987856,-0.265514353,0.122102577,0.335744782,-0.475800838,-0.373828828,0.583703699,0.318148388,-0.483892919,-0.06651506,-0.040683855,-0.349269371,-0.571726764,0.661735342,0.151622439,0.172658012,-0.150680017,-0.645092295,0.514445442,-0.032249957,-0.82334846,0.197725412,-0.074637184,-0.410986625,-0.145281286,-0.335892522,0.48651995,0.067672986,0.27502509,0.153997838,0.151957338,0.672992604,0.379802811,-0.357740674,0.504303968,-0.160541479,-0.145441315,0.379163048,0.14432465,-0.440796326,0.308033046,0.061457495,-0.076426193,-0.065566075,-0.067596395,0.805493106,0.123606991,0.076468224,0.579395925,-0.187307285,0.867199112,0.342863409,-0.416601244,0.397247168,0.51195266,-0.620239059,-0.15992229,0.304199048,-0.52032607,-0.050165368
