Protein,i10,i105,i106,i107,i108,i109,i11,i110,i12,i122,i123,i124,i125,i126,i127,i13,i136,i137,i138,i139,i14,i140,i141,i15,i151,i152,i153,i154,i155,i156,i167,i168,i169,i170,i171,i172,i185,i186,i187,i188,i189,i190,i202,i203,i204,i205,i206,i207,i216,i217,i218,i219,i220,i221,i232,i233,i234,i235,i236,i237,i247,i248,i250,i251,i252,i26,i27,i28,i29,i30,i31,i41,i42,i43,i44,i45,i46,i57,i58,i59,i61,i62,i71,i72,i73,i74,i75,i76,i88,i89,i90,i91,i92,i93
Q15233,-0.598937309,0.251452762,0.392870151,-0.247320874,-0.085720018,0.009288921,0.691576239,-0.310370904,-0.449145398,-0.088209106,0.355641277,0.194736805,-0.151455529,0.250917569,0.408198002,0.562037179,0.350006781,0.449238996,0.538123349,-0.948239079,0.120879429,0.456320635,0.196354319,0.086100785,-0.289031965,0.168139695,0.050913399,0.390560887,0.528530773,-0.016597735,-0.055152191,0.035215968,0.194601667,0.425108988,0.24768936,0.487935526,-0.603239856,-0.068690294,-0.263634604,0.500977331,0.764898142,0.13849695,0.485008939,0.171602117,0.499707639,0.16653059,0.180440305,0.472778437,0.157873706,0.299726086,-0.082916685,0.245499555,-0.08778287,0.317735369,0.352874194,0.270691755,-0.941622986,0.480123674,0.157791479,-0.210233984,0.031716181,0.104223684,0.243158257,0.313109875,0.050402322,-0.782196668,0.42032006,0.236626833,0.248188386,-0.133284612,0.401652164,0.194347367,0.085503779,-0.129479524,-0.37389171,0.008121739,0.509539207,-0.07752755,0.060822651,0.127238593,0.209535539,-0.245099113,0.558145686,0.21675193,-0.627679171,0.083921818,-0.022387869,0.184127338,0.496627854,0.453364205,-0.270897263,0.505493399,0.630795375,0.08756219
Q15287,-0.093344272,0.128358793,0.171086317,0.133498631,-0.31710405,-0.228508142,-0.282509317,0.144017161,-0.324859697,-0.134055458,-0.171158355,0.455479654,-0.106261622,-0.306578667,0.101862465,-0.252728099,-0.318769219,-0.30572608,-0.311601314,-0.068614041,-0.235276864,-0.00349462,-0.024989927,0.107153515,0.174721801,0.192965464,-0.091177502,0.192863493,-0.459012833,0.19449503,-0.136280338,-0.14899154,-0.140639441,-0.130039324,-0.136112693,0.201004744,-0.341945183,-0.025738647,-0.362206019,-0.100287038,-0.229260559,-0.372631308,-0.253713782,-0.04516186,-0.41805044,-0.263586971,0.23650486,0.161918695,0.175491618,0.178230125,0.175261678,-0.183152256,-0.156154278,0.183282989,-0.349124808,0.203240916,-0.270579235,-0.104351438,0.229060835,-0.030741252,-0.498665172,-0.16866519,0.011904802,0.00663815,0.004597649,0.103246876,-0.124819558,-0.384980316,-0.1330282,0.117554809,-0.134391295,0.276893935,-0.273365928,-0.245902859,-0.025810751,-0.034947136,-0.222193881,-0.093590624,-0.356538768,-0.0860447,-0.097062284,-0.356948051,-0.117925786,-0.029719162,-0.337354243,-0.374305139,-0.037926173,-0.017274534,-0.09138704,-0.123690449,-0.105069469,0.224203416,0.237269849,0.242596567
Q15293,0.551671173,0.19020581,0.420765521,-0.243153001,0.246297961,0.425676406,0.557149869,0.250774686,0.202343955,0.306656263,0.015234106,0.055508873,0.447784779,0.348136092,0.265742989,0.331564471,0.180421392,0.046824085,0.532800874,0.774591325,-0.007903421,0.078308706,0.368610141,0.194931506,0.20950687,0.473056163,0.192759612,0.378894702,0.091301431,0.34516435,0.039483166,-0.011049364,-0.002344359,0.682806435,-0.09216689,-0.5288741,0.25077404,-0.028539285,0.193124424,0.346589135,0.728553774,0.031245471,0.442375366,0.065162773,-0.005625571,0.169706934,0.428507328,0.074626087,0.308491342,0.118981126,0.050785999,0.234841827,0.52288843,0.441967693,0.444329734,0.249391404,0.449274081,0.051085628,0.214611309,0.1767724,0.167083252,0.27362875,-0.1067141,0.359966873,0.093451879,0.231574397,0.229988799,0.345030815,0.58288655,0.191670754,0.220417063,0.325296427,0.142570947,0.220151253,0.120818987,0.345407915,0.253048117,0.157806581,0.376501261,0.543923787,0.416855143,0.412579166,0.06159504,0.045731402,0.283090691,0.379614901,0.362870137,0.291103911,0.371907671,0.221110615,0.484369313,0.315526177,-0.068253265,0.381249475
Q15365,0.121165974,0.39631843,0.230499388,0.406335587,0.138758291,0.081669103,-0.164788512,-0.405419261,0.793998129,-0.095311279,0.305562379,0.265785729,-0.265375525,0.422561375,0.177848464,0.466242301,0.551589698,-0.105970829,0.699809481,-0.256771645,0.426369153,0.121139625,-0.200408975,0.25122343,0.152203561,0.307134974,0.421945701,-0.009005012,0.510285946,0.146237149,0.005938166,-0.154659451,-0.368750967,0.141732083,0.258335352,0.199124602,-0.453742363,-0.376733867,-0.297802077,0.23322695,-0.318387016,0.494660345,-0.590789617,0.640192912,0.2946972,-0.017407391,-0.158581399,-0.039678908,0.383831834,0.258124114,-0.272822739,0.477887271,0.14443547,-0.144981101,0.342663247,0.432300531,0.494729503,0.013682281,0.642159134,-0.177321929,-0.106715009,0.334418109,-0.456268436,0.531847878,0.302241635,-0.125928476,0.537203274,-0.823313422,0.116777047,0.413804916,0.341130084,0.333654309,-0.0209988,0.299962595,0.116823142,0.480582882,0.464604071,-0.49423332,-0.242855749,-0.253033737,-0.265404722,0.377918038,0.480661181,-0.196676161,-1.020835374,0.152441076,0.137657698,0.512340816,0.324476154,0.230390549,0.748758149,0.284847776,-0.071808771,-0.405192992
Q15366,-0.026606279,0.461350667,0.117526321,-0.148781231,0.071666317,-0.032213681,-0.518875332,-0.252802576,-0.374240008,-0.060945691,0.536417689,0.041641716,-0.158274058,-0.062345911,-0.316243633,0.370758778,0.257501628,0.096839519,-0.033318471,-0.163907177,0.072461701,-0.556411924,0.176698767,-0.008787834,0.217071632,-0.136494909,0.414847833,0.38422755,0.282805589,0.39726035,0.151886576,-0.048040033,0.465406667,-0.126005346,0.111199471,0.671108752,0.31553206,-0.067508993,0.43998069,0.038352744,-0.223663272,0.01873484,0.293747774,-0.033379603,0.207982614,-0.081255782,0.094416135,-0.262441191,-0.107039358,-0.106402886,0.337978765,0.144014005,-0.360286648,-0.639189348,-0.005337968,-0.703017712,-0.414396732,0.376183587,-0.553236286,-0.0231165,-0.692915005,0.3730878,0.04451748,0.369936596,0.115881869,-0.305562494,0.496850536,0.169124162,0.137252996,-0.376749422,0.067441237,0.402038441,-0.555412308,-0.199523155,0.346806676,0.325559798,0.09622591,0.229333246,-0.555365054,-0.249025111,-0.052207932,0.126784912,0.174592317,0.258247239,-0.013403603,0.103102628,0.062594741,0.011667527,0.420631462,-0.353547385,0.417280972,-0.063480836,0.27270633,-0.189700893
Q15369,-0.50176064,0.203790252,-0.227833063,0.156272763,-0.529548114,0.134237835,0.413497411,-0.161104025,-0.34172591,-0.408273554,-0.014488272,-0.162682527,-0.297219377,0.040195748,-0.00427717,-0.105426296,0.197945901,-0.151242352,0.032061518,-0.653844099,-0.470614233,-0.429899214,0.190642928,0.104319283,-0.044505985,-0.04226214,-0.234379859,-0.059141853,0.175345642,-0.239757013,-0.227203442,-0.013325597,0.394961406,-0.801907281,0.146898887,-0.019858653,-0.523549858,-0.307041851,0.195513009,0.11660431,0.791651438,0.190277203,-0.115691976,-0.37796001,0.013462235,0.115395489,-0.136199441,0.266613321,-0.114602548,-0.02531004,-0.041559434,-0.257231212,-0.486707119,0.098387,-0.373146207,-0.021338278,-0.288805025,0.082304575,-0.496527268,-0.199573737,-0.054168003,0.046019947,0.138960274,0.133693622,-0.234664325,-0.177636614,0.066463062,-0.610655788,0.030996851,0.06688604,0.070308373,-0.451850774,0.008784847,0.185550959,-0.381030325,-0.093435935,-0.12424885,0.125655363,-0.206885637,0.131132081,0.574817528,0.386266103,0.046086499,-0.068022231,-0.172067597,-0.034086953,-0.076229243,-0.036320927,-0.2493113,-0.113776474,0.2418069,0.155626679,-0.254731907,-0.387623327
Q15370,0.101135407,0.803873725,-0.871013781,0.098497072,0.289316667,0.110345447,0.235389335,-0.008142082,-0.443181913,0.429676423,-0.682862268,-0.316261769,-0.534508711,-0.255502699,0.117721923,0.035246211,-0.10295886,-0.360768418,-0.186334892,0.609732904,-0.152971402,-0.551802592,-0.236154648,-0.493067067,0.075556179,0.197926042,-0.948657466,0.149468767,0.520751095,0.082199627,-0.040414646,-0.845025113,-0.05753973,0.466924471,0.147504262,0.048793579,-0.005566716,0.298908846,0.126185866,-0.161591829,-0.595053399,-0.487915217,-0.779564665,-0.314554156,-0.203672084,0.107583647,0.184226151,-0.173156774,-0.395952542,0.068446772,-0.245637885,-0.324273859,-0.318266846,-0.654179705,-0.236713909,0.043150407,0.268312197,-0.24641282,-0.539947952,-0.072182968,0.502504831,-0.050131439,0.158654953,-0.466509767,-0.468550267,0.0326575,-0.18081729,0.650179639,0.714437931,-0.296624848,-0.485766089,-0.291867492,-0.121075013,1.233993286,-0.073303323,0.216664866,0.555420572,0.119677355,-0.612700748,0.446769622,-0.155060994,0.446121038,-0.468433676,-0.430077576,0.619963477,-0.013310325,-0.332946023,-0.534678862,0.494253013,-0.479887536,-0.236286377,0.224531327,-0.297238718,-0.8639019
Q15382,-0.438416799,-0.230447137,-0.410492182,-0.046730392,-0.332401693,-0.038144866,-0.118756154,-0.105288073,0.438514769,-0.285355249,-0.21605168,0.070779827,0.182553102,-0.04076807,-0.079858884,-0.0198806,-0.040094611,0.029317904,-0.161268751,0.362452629,0.457330023,0.303090859,-0.116744511,0.43110232,0.214902233,0.093606895,-0.237292216,-0.370026056,-0.142852818,-0.462465589,-0.398965402,0.018414438,0.034030499,0.032883139,-0.224598051,-0.129783821,-0.417777613,0.059686658,0.059425089,0.052883694,-0.070956375,-0.059891443,-0.269078526,-0.144010789,-0.22010173,-0.517739307,0.108587597,0.071508106,0.510443722,0.204773737,-0.254076602,0.494796751,0.399936166,0.209826602,0.510858053,0.212677243,0.022451974,0.481358142,-0.026383013,-0.45698646,-0.378856692,0.445744002,0.148403824,0.463284807,0.0618686,-0.365098481,0.195242989,-0.243260994,0.550466846,-0.107626876,0.170436314,0.700856734,0.279697648,0.237772508,0.079294183,0.248809303,0.0082387,0.234379437,-0.043416742,0.239020995,0.230907777,-0.046730392,0.399944469,0.384080831,-0.441911375,0.398759433,0.37587382,0.396525459,-0.446874163,-0.426747698,-0.290669362,0.134160467,-0.0397064,-0.082991376
Q15393,0.046687375,-0.312569191,-0.116609815,-0.059212413,0.058863942,-0.329265824,0.178473008,0.25459995,0.001012751,0.127248507,-0.042281885,0.078193248,0.360330571,0.319347761,-0.135259311,-0.162868439,-0.029337625,0.110425558,0.104550324,-0.108979796,-0.138252322,0.294135274,0.015336182,-0.099719295,0.3330518,0.259121395,-0.212906484,-0.192838541,-0.088791787,0.045271932,-0.315380179,0.008429305,0.168979017,0.166304347,-0.393295454,0.00509575,-0.531687452,0.050168527,0.090150231,0.062520535,0.292850454,-0.071367337,-0.265867811,0.207589075,-0.099992631,-0.3062935,0.337776245,-0.033499118,0.268511037,-0.005055296,-0.244609124,0.156681423,0.142457136,0.314400152,-0.239614281,-0.096492948,-0.038321142,-0.098295896,0.156820948,0.085535076,0.056530227,0.135213325,0.242920084,0.237653431,-0.209903799,0.127876218,0.03458085,0.082707724,-0.373835318,-0.144608517,0.082279451,-0.047505686,0.165123176,-0.106825132,-0.05852244,-0.007456137,-0.151138988,0.010132173,0.108627841,0.147659296,0.08372173,0.105314192,0.163796677,0.057752119,-0.041292155,-0.264363393,0.139726028,-0.053451835,-0.288483726,-0.058677812,-0.452459383,0.043489976,0.150966941,0.248999827
Q15398,-0.235546277,-0.340353662,-0.33677737,-0.140701452,-0.328605611,-0.352113458,-0.361614662,0.060655245,-0.17918565,0.073283471,-0.303767675,-0.310422117,-0.369594262,-0.358528113,-0.302720298,-0.278525025,-0.437412497,-0.005866468,-0.433575805,-0.231652318,-0.26107379,-0.423220163,-0.022881367,-0.287301493,-0.438467151,0.005223371,0.017649531,-0.450912994,-0.372936268,0.006752937,-0.112866064,-0.428418668,-0.117225167,-0.106625051,-0.363810714,-0.35440608,-0.201158135,-0.196627008,-0.135984401,0.027713984,-0.211983229,-0.412029232,-0.28508745,0.158762182,-0.293375545,-0.292022893,-0.299810464,-0.288085744,-0.283257153,-0.280518646,-0.345650446,-0.589230604,-0.140227983,-0.275465781,-0.425576918,-0.440271242,-0.420632571,-0.455076828,-0.07870584,-0.202213016,-0.125523357,-0.520312169,-0.497504711,-0.097193353,-0.225786413,-0.196930126,-0.15657884,-0.187017703,-0.642791234,-0.224486034,-0.255101588,-0.196148278,-0.185413073,-0.659890229,-0.207165033,-0.216301418,-0.338598496,-0.198353688,0.011943431,0.304641473,-0.23552113,-0.625500934,-0.457334789,-0.473198427,-0.082672985,-0.458519826,-0.132820704,-0.4607538,-0.333463217,-0.328218523,-0.342919048,-0.3268068,0.085741068,-0.343940659
